id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
108,2020,Palestine,4.553,125,0.588,1.195,0.614,0.299,0.092,0.072
109,2020,Panama,6.305,36,1.098,1.376,0.879,0.58,0.097,0.054
110,2020,Paraguay,5.692,67,0.898,1.368,0.736,0.587,0.204,0.065
111,2020,Peru,5.797,63,0.919,1.208,0.824,0.513,0.092,0.027
112,2020,Philippines,6.006,52,0.775,1.245,0.602,0.622,0.129,0.13
113,2020,Poland,6.186,43,1.169,1.31,0.868,0.558,0.063,0.161
114,2020,Portugal,5.911,59,1.169,1.34,0.979,0.59,0.053,0.028
115,2020,Romania,6.124,47,1.12,1.194,0.792,0.535,0.068,0.001
116,2020,Russia,5.546,73,1.127,1.379,0.68,0.399,0.099,0.046
117,2020,Rwanda,3.312,150,0.343,0.523,0.572,0.604,0.236,0.486
118,2020,Saudi Arabia,6.406,27,1.334,1.31,0.76,0.548,0.087,0.163
119,2020,Senegal,4.981,101,0.504,0.955,0.518,0.352,0.164,0.082
120,2020,Serbia,5.778,64,0.988,1.327,0.828,0.395,0.15,0.059
121,2020,Sierra Leone,3.926,139,0.241,0.748,0.204,0.382,0.258,0.048
122,2020,Singapore,6.377,31,1.52,1.395,1.138,0.635,0.219,0.533
123,2020,Slovakia,6.281,37,1.195,1.424,0.853,0.424,0.117,0.011
124,2020,Slovenia,6.363,33,1.209,1.465,0.933,0.647,0.146,0.077
125,2020,South Africa,4.814,109,0.902,1.259,0.407,0.435,0.126,0.06
126,2020,South Korea,5.872,61,1.245,1.134,1.023,0.259,0.17,0.095
127,2020,South Sudan,2.817,152,0.289,0.553,0.209,0.066,0.21,0.111
128,2020,Spain,6.401,28,1.231,1.421,1.051,0.426,0.165,0.11
129,2020,Sri Lanka,4.327,130,0.898,1.195,0.792,0.529,0.253,0.049
130,2020,Swaziland,4.308,132,0.828,1.065,0.216,0.3,0.067,0.147
131,2020,Sweden,7.353,7,1.322,1.433,0.986,0.65,0.273,0.442
132,2020,Switzerland,7.56,3,1.391,1.472,1.041,0.629,0.269,0.408
133,2020,Taiwan,6.455,25,1.327,1.358,0.878,0.449,0.151,0.132
134,2020,Tajikistan,5.556,71,0.475,1.218,0.681,0.521,0.182,0.222
135,2020,Tanzania,3.476,148,0.457,0.873,0.443,0.509,0.272,0.204
136,2020,Thailand,5.999,54,1.007,1.348,0.794,0.609,0.377,0.032
137,2020,Togo,4.187,135,0.268,0.548,0.343,0.304,0.201,0.115
138,2020,Trinidad and Tobago,6.192,42,1.168,1.407,0.659,0.553,0.199,0.015
139,2020,Tunisia,4.392,128,0.875,0.872,0.781,0.236,0.056,0.044
140,2020,Turkey,5.132,93,1.127,1.197,0.781,0.254,0.086,0.121
141,2020,Turkmenistan,5.119,95,1.009,1.51,0.612,0.515,0.323,0.034
142,2020,Uganda,4.432,126,0.312,1.052,0.378,0.402,0.265,0.064
143,2020,Ukraine,4.561,123,0.78,1.321,0.699,0.319,0.179,0.01
144,2020,United Arab Emirates,6.791,21,1.431,1.251,0.788,0.653,0.281,0.22
145,2020,United Kingdom,7.165,13,1.273,1.458,0.976,0.525,0.373,0.323
146,2020,United States,6.94,18,1.374,1.405,0.832,0.535,0.298,0.152
147,2020,Uruguay,6.44,26,1.071,1.425,0.857,0.594,0.132,0.193
148,2020,Uzbekistan,6.258,38,0.697,1.434,0.717,0.693,0.363,0.28
149,2020,Venezuela,5.053,99,0.77,1.349,0.767,0.272,0.087,0.064
150,2020,Vietnam,5.353,83,0.718,1.253,0.819,0.651,0.136,0.09
151,2020,Yemen,3.527,146,0.393,1.177,0.415,0.244,0.095,0.087
152,2020,Zambia,3.759,141,0.537,0.896,0.364,0.491,0.251,0.087
153,2020,Zimbabwe,3.299,151,0.426,1.048,0.375,0.377,0.151,0.081
